,make_model,power_kW,mileage,age,engine_size,type
70,Mercedes-Benz A 180,90.0,133773.0,9.0,1595.0,Used
71,Mercedes-Benz A 180,79.0,198291.0,4.0,1461.0,Used
72,Mercedes-Benz A 180,90.0,75594.0,6.0,1595.0,Used
73,Mercedes-Benz A 180,85.0,29999.0,3.0,1461.0,Used
74,Mercedes-Benz A 180,80.0,96010.0,6.0,1461.0,Used
75,Mercedes-Benz A 180,85.0,33349.0,1.0,1950.0,Used
76,Mercedes-Benz A 180,90.0,132111.0,8.0,1595.0,Used
77,Mercedes-Benz A 180,90.0,102998.0,7.0,1595.0,Used
78,Mercedes-Benz A 180,90.0,50340.0,6.0,1595.0,Used
79,Mercedes-Benz A 180,90.0,87385.0,7.0,1595.0,Used
80,Mercedes-Benz A 180,100.0,89805.0,3.0,1332.0,Used
81,Mercedes-Benz A 180,90.0,113023.0,7.0,1595.0,Used
82,Mercedes-Benz A 180,90.0,109367.0,5.0,1595.0,Used
83,Mercedes-Benz A 180,90.0,44319.0,4.0,1595.0,Used
84,Mercedes-Benz A 180,90.0,92469.0,5.0,1595.0,Used
85,Mercedes-Benz A 180,85.0,38236.0,3.0,1461.0,Used
86,Mercedes-Benz A 180,80.0,123617.0,8.0,1461.0,Used
87,Mercedes-Benz A 180,100.0,25780.0,2.0,1332.0,Used
88,Mercedes-Benz A 180,85.0,22042.0,1.0,1950.0,Used
89,Mercedes-Benz A 180,81.0,73301.0,4.0,1461.0,Used
90,Mercedes-Benz A 180,100.0,29500.0,3.0,1332.0,Used
91,Mercedes-Benz A 180,100.0,49444.0,2.0,1332.0,Used
92,Mercedes-Benz A 180,90.0,67120.0,6.0,1595.0,Used
93,Mercedes-Benz A 180,81.0,71482.0,4.0,1461.0,Used
94,Mercedes-Benz A 180,90.0,99533.0,8.0,1595.0,Used
96,Mercedes-Benz A 180,80.0,270000.0,9.0,1461.0,Used
97,Mercedes-Benz A 180,85.0,79163.0,4.0,1461.0,Used
98,Mercedes-Benz A 180,80.0,114000.0,7.0,1461.0,Used
99,Mercedes-Benz A 180,80.0,80999.0,5.0,1461.0,Used
101,Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used
102,Mercedes-Benz A 180,85.0,29000.0,3.0,1461.0,Used
103,Mercedes-Benz A 180,80.0,94467.0,2.0,1991.0,Used
104,Mercedes-Benz A 180,85.0,29600.0,1.0,1950.0,Used
105,Mercedes-Benz A 180,85.0,79163.0,4.0,1461.0,Used
106,Mercedes-Benz A 180,80.0,160000.0,7.0,1461.0,Used
107,Mercedes-Benz A 180,85.0,28000.0,4.0,1461.0,Used
108,Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used
109,Mercedes-Benz A 180,80.0,123462.0,3.0,1461.0,Used
110,Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used
111,Mercedes-Benz A 180,80.0,82000.0,8.0,1461.0,Used
112,Mercedes-Benz A 180,85.0,51078.0,3.0,1461.0,Used
113,Mercedes-Benz A 180,80.0,198000.0,8.0,1461.0,Used
114,Mercedes-Benz A 180,80.0,164305.0,5.0,1461.0,Used
115,Mercedes-Benz A 180,85.0,40000.0,1.0,1461.0,Used
116,Mercedes-Benz A 180,80.0,93000.0,5.0,1461.0,Used
117,Mercedes-Benz A 180,80.0,132673.0,6.0,1461.0,Used
118,Mercedes-Benz A 180,100.0,20124.0,2.0,1332.0,Used
119,Mercedes-Benz A 180,85.0,66000.0,2.0,1461.0,Used
120,Mercedes-Benz A 180,85.0,38727.0,3.0,1461.0,Used
121,Mercedes-Benz A 180,85.0,42968.0,3.0,1461.0,Used
122,Mercedes-Benz A 180,90.0,125830.0,8.0,1595.0,Used
124,Opel Astra,177.0,200000.0,14.0,1998.0,Used
127,Opel Corsa,152.0,75700.0,6.0,1598.0,Used
128,Opel Corsa,74.0,1.0,0.0,1199.0,Pre-registered
131,Opel Astra,100.0,49817.0,6.0,1598.0,Used
132,Opel Astra,132.0,1.0,0.0,1598.0,Pre-registered
134,Opel Corsa,66.0,72090.0,6.0,1398.0,Used
135,Opel Corsa,66.0,93657.0,4.0,1398.0,Used
137,Opel Corsa,85.0,87550.0,7.0,999.0,Used
138,Opel Astra,100.0,113000.0,4.0,1598.0,Used
139,Opel Corsa,66.0,20400.0,3.0,1398.0,Used
140,Opel Corsa,152.0,51950.0,6.0,1598.0,Used
141,Opel Adam,110.0,72200.0,7.0,1364.0,Used
142,Opel Adam,64.0,102252.0,9.0,1398.0,Used
143,Opel Corsa,152.0,60500.0,5.0,1598.0,Used
144,Opel Corsa,66.0,61508.0,5.0,1398.0,Used
145,Opel Adam,74.0,34500.0,4.0,1398.0,Used
147,Opel Adam,110.0,27000.0,6.0,1364.0,Used
148,Opel Corsa,74.0,8900.0,2.0,1199.0,Demonstration
149,Opel Adam,110.0,35980.0,3.0,1364.0,Used
150,Opel Astra,118.0,92000.0,4.0,1598.0,Used
152,Opel Adam,85.0,63296.0,5.0,999.0,Used
153,Opel Corsa,66.0,70000.0,4.0,1398.0,Used
154,Opel Corsa,66.0,66848.0,3.0,1400.0,Used
155,Opel Adam,110.0,54163.0,5.0,1364.0,Used
156,Opel Corsa,110.0,29904.0,4.0,1364.0,Used
157,Opel Corsa,74.0,21358.0,3.0,1199.0,Used
158,Opel Adam,85.0,73000.0,4.0,999.0,Used
159,Opel Adam,85.0,62500.0,3.0,999.0,Used
160,Opel Adam,74.0,40594.0,3.0,1398.0,Used
161,Opel Corsa,74.0,40200.0,4.0,1364.0,Used
162,Opel Corsa,63.0,84619.0,7.0,1229.0,Used
163,Opel Corsa,66.0,83054.0,3.0,1398.0,Used
164,Opel Adam,110.0,50450.0,5.0,1364.0,Used
165,Opel Corsa,110.0,49551.0,3.0,1364.0,Used
166,Opel Corsa,55.0,19000.0,3.0,1199.0,Used
167,Opel Astra,85.0,88000.0,14.0,1598.0,Used
168,Opel Corsa,110.0,47200.0,4.0,1364.0,Used
170,Opel Astra,81.0,135000.0,7.0,1598.0,Used
171,Opel Corsa,74.0,17700.0,3.0,1364.0,Used
172,Opel Corsa,55.0,20000.0,3.0,1199.0,Used
173,Opel Corsa,110.0,43001.0,7.0,1364.0,Used
174,Opel Astra,74.0,74849.0,9.0,1398.0,Used
175,Opel Adam,74.0,60565.0,3.0,1398.0,Used
176,Opel Adam,110.0,40869.0,6.0,1364.0,Used
177,Opel Adam,64.0,26200.0,4.0,1398.0,Used
179,Opel Adam,85.0,67420.0,5.0,999.0,Used
180,Opel Corsa,75.0,18700.0,1.0,1499.0,Used
181,Opel Corsa,74.0,480.0,1.0,1199.0,Employee's car
182,Opel Corsa,74.0,61200.0,12.0,1398.0,Used
183,Opel Adam,110.0,22532.0,3.0,1364.0,Used
184,Opel Astra,92.0,40000.0,5.0,1399.0,Used
185,Opel Corsa,110.0,34800.0,3.0,0.0,Used
186,Opel Astra,81.0,52291.0,5.0,1598.0,Used
187,Opel Corsa,66.0,40000.0,5.0,1398.0,Used
188,Opel Corsa,66.0,61508.0,5.0,1398.0,Used
189,Opel Adam,74.0,119494.0,8.0,1398.0,Used
190,Opel Astra,96.0,9000.0,1.0,1199.0,Used
191,Opel Adam,64.0,12633.0,4.0,1398.0,Used
192,Opel Corsa,66.0,63680.0,5.0,1398.0,Used
193,Opel Adam,110.0,34661.0,5.0,1364.0,Used
194,Opel Corsa,74.0,39703.0,1.0,1199.0,Used
195,Opel Corsa,55.0,2.0,0.0,1199.0,Pre-registered
196,Opel Corsa,74.0,20123.0,5.0,1364.0,Used
197,Opel Corsa,110.0,36370.0,3.0,1364.0,Used
198,Opel Corsa,110.0,17559.0,3.0,1364.0,Used
199,Opel Corsa,74.0,45400.0,1.0,1199.0,Used
200,Opel Corsa,110.0,28921.0,3.0,1364.0,Used
201,Opel Corsa,66.0,58294.0,5.0,999.0,Used
202,Opel Corsa,75.0,13150.0,2.0,1499.0,Used
203,Opel Corsa,74.0,4999.0,0.0,1199.0,Demonstration
204,Opel Adam,74.0,87700.0,6.0,1398.0,Used
205,Opel Corsa,110.0,36508.0,4.0,1364.0,Used
206,Opel Adam,110.0,49434.0,4.0,1364.0,Used
207,Opel Corsa,110.0,73284.0,6.0,1364.0,Used
208,Opel Corsa,64.0,28452.0,8.0,1398.0,Used
209,Opel Corsa,51.0,24350.0,8.0,1229.0,Used
210,Opel Adam,110.0,63078.0,6.0,1364.0,Used
211,Opel Adam,74.0,26100.0,3.0,1398.0,Used
212,Opel Corsa,110.0,36040.0,4.0,1364.0,Used
213,Opel Adam,51.0,9524.0,4.0,1229.0,Used
214,Opel Corsa,100.0,3191.0,1.0,1199.0,Used
215,Opel Corsa,74.0,97000.0,8.0,1199.0,Used
216,Opel Corsa,74.0,37500.0,3.0,1364.0,Used
217,Opel Corsa,66.0,127047.0,3.0,1398.0,Used
218,Opel Corsa,70.0,49910.0,8.0,1248.0,Used
219,Opel Astra,81.0,39000.0,2.0,1199.0,Used
220,Opel Adam,74.0,20337.0,3.0,1398.0,Used
221,Opel Corsa,74.0,22800.0,1.0,1199.0,Used
222,Opel Adam,64.0,80000.0,8.0,1398.0,Used
223,Opel Corsa,66.0,31647.0,3.0,1398.0,Used
224,Opel Astra,77.0,54372.0,4.0,999.0,Used
225,Opel Corsa,66.0,23000.0,3.0,1398.0,Used
226,Opel Corsa,74.0,8500.0,1.0,1199.0,Used
227,Opel Corsa,74.0,10320.0,1.0,1199.0,Employee's car
228,Opel Adam,74.0,12522.0,3.0,1398.0,Used
229,Opel Corsa,74.0,50.0,1.0,1199.0,Pre-registered
230,Opel Corsa,55.0,17836.0,2.0,1199.0,Used
231,Opel Corsa,85.0,67066.0,7.0,999.0,Used
232,Opel Corsa,55.0,23818.0,2.0,1199.0,Used
233,Opel Adam,64.0,39181.0,4.0,1398.0,Used
234,Opel Corsa,66.0,66848.0,3.0,1400.0,Used
235,Opel Corsa,66.0,66848.0,3.0,1400.0,Used
236,Opel Corsa,66.0,27450.0,4.0,1398.0,Used
237,Opel Corsa,51.0,82365.0,4.0,1229.0,Used
238,Opel Astra,100.0,68478.0,4.0,1598.0,Used
239,Opel Corsa,66.0,13011.0,4.0,999.0,Used
240,Opel Corsa,74.0,29074.0,3.0,1364.0,Used
241,Opel Corsa,55.0,6001.0,0.0,1199.0,Used
242,Opel Adam,64.0,15379.0,3.0,1398.0,Used
243,Opel Corsa,110.0,28735.0,4.0,1364.0,Used
244,Opel Corsa,96.0,15759.0,1.0,1199.0,Used
245,Opel Adam,110.0,32214.0,3.0,1364.0,Used
246,Opel Corsa,100.0,1070.0,0.0,1199.0,Used
247,Opel Corsa,55.0,21044.0,2.0,1199.0,Used
248,Opel Corsa,66.0,14284.0,3.0,1398.0,Used
249,Opel Corsa,74.0,35010.0,1.0,1199.0,Employee's car
250,Opel Corsa,66.0,15318.0,3.0,1398.0,Used
251,Opel Corsa,74.0,110988.0,10.0,1398.0,Used
252,Opel Corsa,96.0,13141.0,2.0,1199.0,Used
253,Opel Corsa,66.0,38745.0,7.0,1398.0,Used
254,Opel Adam,64.0,88211.0,6.0,1398.0,Used
255,Opel Adam,74.0,17130.0,4.0,1398.0,Used
256,Opel Adam,66.0,60380.0,7.0,999.0,Used
257,Opel Adam,64.0,99000.0,8.0,1398.0,Used
258,Opel Adam,64.0,47998.0,7.0,1398.0,Used
259,Opel Corsa,55.0,18894.0,1.0,1199.0,Used
260,Opel Corsa,74.0,2874.0,0.0,1199.0,Demonstration
261,Opel Corsa,74.0,34450.0,1.0,1199.0,Used
262,Opel Adam,74.0,47398.0,3.0,1398.0,Used
263,Opel Corsa,66.0,31206.0,3.0,1398.0,Used
264,Opel Corsa,74.0,19785.0,3.0,1199.0,Used
265,Opel Corsa,74.0,1172.0,1.0,1199.0,Used
266,Opel Adam,64.0,39396.0,5.0,1398.0,Used
267,Opel Adam,110.0,40260.0,5.0,1364.0,Used
268,Opel Corsa,74.0,2346.0,0.0,1199.0,Employee's car
269,Opel Corsa,74.0,5900.0,0.0,1199.0,Used
272,Opel Adam,74.0,14223.0,3.0,1398.0,Used
273,Opel Corsa,74.0,39450.0,2.0,1199.0,Used
274,Opel Adam,74.0,66600.0,8.0,1398.0,Used
275,Opel Corsa,66.0,35515.0,6.0,1398.0,Used
276,Opel Corsa,74.0,24944.0,1.0,1199.0,Employee's car
277,Opel Adam,74.0,31370.0,3.0,1398.0,Used
278,Opel Corsa,66.0,36382.0,4.0,1398.0,Used
279,Opel Corsa,75.0,19800.0,2.0,1499.0,Used
280,Opel Corsa,74.0,4900.0,1.0,1199.0,Used
282,Opel Adam,64.0,15800.0,3.0,1398.0,Used
284,Opel Corsa,110.0,59117.0,4.0,1364.0,Used
285,Opel Corsa,74.0,46750.0,1.0,1199.0,Employee's car
286,Opel Astra,147.0,70738.0,4.0,1598.0,Used
287,Opel Adam,110.0,57208.0,4.0,1398.0,Used
288,Opel Corsa,66.0,9233.0,3.0,1398.0,Used
289,Opel Corsa,55.0,35000.0,2.0,1199.0,Used
290,Opel Corsa,55.0,2700.0,1.0,1199.0,Used
291,Opel Corsa,55.0,37296.0,2.0,1199.0,Used
292,Opel Corsa,66.0,61508.0,5.0,1398.0,Used
293,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
294,Opel Corsa,55.0,16070.0,2.0,1199.0,Used
295,Opel Corsa,74.0,50.0,1.0,1199.0,Used
296,Opel Adam,64.0,31170.0,4.0,1398.0,Used
297,Opel Corsa,74.0,5900.0,0.0,1199.0,Used
298,Opel Corsa,51.0,36550.0,3.0,1229.0,Used
299,Opel Corsa,55.0,6498.0,2.0,1199.0,Used
300,Opel Corsa,66.0,37232.0,3.0,1398.0,Used
301,Opel Corsa,66.0,21270.0,3.0,1398.0,Used
302,Opel Adam,74.0,69828.0,4.0,1398.0,Used
303,Opel Adam,51.0,53194.0,9.0,1229.0,Used
304,Opel Corsa,74.0,11616.0,3.0,1364.0,Used
305,Opel Corsa,74.0,34001.0,1.0,1199.0,Employee's car
306,Opel Corsa,74.0,10.0,0.0,1199.0,Pre-registered
307,Opel Corsa,66.0,19704.0,3.0,1398.0,Used
308,Opel Corsa,74.0,9018.0,2.0,1199.0,Used
309,Opel Corsa,74.0,23000.0,2.0,1199.0,Used
310,Opel Corsa,66.0,33830.0,3.0,1398.0,Used
311,Opel Corsa,74.0,28515.0,2.0,1199.0,Used
312,Opel Corsa,74.0,7250.0,1.0,1199.0,Used
313,Opel Corsa,74.0,30875.0,3.0,1364.0,Used
314,Opel Corsa,74.0,6235.0,2.0,1199.0,Used
315,Opel Corsa,51.0,33930.0,3.0,1229.0,Used
317,Opel Adam,66.0,40959.0,3.0,999.0,Used
318,Opel Corsa,100.0,1040.0,0.0,1199.0,Used
319,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
320,Opel Corsa,96.0,10.0,0.0,1199.0,Pre-registered
321,Opel Adam,51.0,80450.0,9.0,1229.0,Used
322,Opel Corsa,100.0,5000.0,0.0,1199.0,Demonstration
323,Opel Corsa,66.0,64106.0,3.0,1398.0,Used
324,Opel Corsa,100.0,1170.0,0.0,1199.0,Used
325,Opel Corsa,74.0,14416.0,2.0,1199.0,Used
326,Opel Corsa,96.0,21800.0,2.0,1199.0,Used
327,Opel Corsa,100.0,1190.0,0.0,1199.0,Used
328,Opel Corsa,100.0,1070.0,0.0,1199.0,Used
329,Opel Corsa,55.0,13550.0,2.0,1199.0,Used
330,Opel Corsa,51.0,25859.0,3.0,1229.0,Used
331,Opel Corsa,100.0,5990.0,0.0,1199.0,Demonstration
332,Opel Corsa,74.0,44990.0,1.0,1199.0,Employee's car
333,Opel Corsa,100.0,1050.0,0.0,1199.0,Used
334,Opel Corsa,100.0,45.0,0.0,0.0,Demonstration
335,Opel Corsa,74.0,14764.0,1.0,1199.0,Used
336,Opel Adam,110.0,53512.0,6.0,1364.0,Used
337,Opel Corsa,51.0,18301.0,3.0,1229.0,Used
338,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
339,Opel Corsa,51.0,12965.0,3.0,1229.0,Used
340,Opel Corsa,74.0,7242.0,2.0,1199.0,Used
341,Opel Corsa,74.0,25145.0,1.0,1199.0,Used
342,Opel Corsa,100.0,1150.0,0.0,1199.0,Used
343,Opel Corsa,100.0,45.0,0.0,0.0,Demonstration
344,Opel Corsa,74.0,21000.0,2.0,1199.0,Used
345,Opel Adam,64.0,35154.0,4.0,1398.0,Used
346,Opel Corsa,74.0,20592.0,1.0,1199.0,Used
347,Opel Corsa,74.0,21640.0,2.0,1199.0,Used
348,Opel Corsa,74.0,1555.0,1.0,1199.0,Demonstration
349,Opel Corsa,100.0,1140.0,0.0,1199.0,Used
350,Opel Corsa,55.0,6001.0,0.0,1199.0,Used
351,Opel Corsa,55.0,8130.0,1.0,1199.0,Used
352,Opel Corsa,74.0,22600.0,2.0,1199.0,Used
354,Opel Corsa,100.0,1120.0,0.0,1199.0,Used
355,Opel Adam,64.0,24685.0,3.0,1398.0,Used
356,Opel Corsa,51.0,22675.0,3.0,1229.0,Pre-registered
357,Opel Corsa,100.0,45.0,0.0,0.0,Demonstration
358,Opel Corsa,74.0,25040.0,3.0,1364.0,Used
359,Opel Corsa,96.0,10.0,0.0,1199.0,Pre-registered
360,Opel Corsa,55.0,2240.0,1.0,1199.0,Used
361,Opel Corsa,66.0,36057.0,3.0,1398.0,Used
362,Opel Corsa,55.0,5130.0,1.0,1199.0,Employee's car
363,Opel Corsa,74.0,500.0,0.0,1199.0,Demonstration
364,Opel Corsa,55.0,6200.0,1.0,1199.0,Used
365,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
366,Opel Corsa,51.0,21500.0,5.0,1229.0,Used
367,Opel Astra,77.0,19900.0,3.0,999.0,Used
368,Opel Adam,66.0,63778.0,5.0,999.0,Used
369,Opel Corsa,55.0,1500.0,0.0,1199.0,Employee's car
370,Opel Corsa,74.0,6076.0,1.0,1199.0,Employee's car
371,Opel Corsa,55.0,8363.0,1.0,1199.0,Employee's car
372,Opel Corsa,75.0,27654.0,1.0,1499.0,Used
373,Opel Corsa,74.0,10.0,0.0,1199.0,Pre-registered
374,Opel Corsa,66.0,44500.0,7.0,1398.0,Used
375,Opel Adam,51.0,102557.0,7.0,1229.0,Used
376,Opel Corsa,100.0,199.0,1.0,1199.0,Demonstration
377,Opel Corsa,55.0,7990.0,0.0,1199.0,Employee's car
378,Opel Corsa,59.0,14885.0,13.0,1229.0,Used
379,Opel Corsa,74.0,5990.0,0.0,1199.0,Employee's car
380,Opel Corsa,74.0,16523.0,1.0,1199.0,Used
381,Opel Adam,51.0,17700.0,3.0,1229.0,Used
382,Opel Adam,64.0,51000.0,6.0,1398.0,Used
383,Opel Corsa,66.0,25600.0,3.0,1398.0,Used
384,Opel Corsa,55.0,1515.0,0.0,1199.0,Employee's car
385,Opel Corsa,55.0,1500.0,0.0,1199.0,Used
386,Opel Corsa,55.0,5721.0,0.0,1199.0,Employee's car
387,Opel Corsa,55.0,1800.0,1.0,1199.0,Used
388,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
389,Opel Corsa,55.0,21728.0,1.0,1199.0,Used
390,Opel Corsa,74.0,10000.0,1.0,1199.0,Used
391,Opel Corsa,66.0,26019.0,3.0,1398.0,Used
392,Opel Corsa,51.0,35400.0,3.0,1229.0,Used
393,Opel Astra,103.0,63187.0,7.0,1364.0,Used
394,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
395,Opel Corsa,75.0,31900.0,2.0,1499.0,Used
396,Opel Adam,64.0,49235.0,3.0,1398.0,Used
397,Opel Corsa,100.0,35.0,0.0,0.0,Demonstration
398,Opel Corsa,55.0,14268.0,2.0,1199.0,Used
399,Opel Corsa,51.0,32039.0,3.0,1229.0,Used
400,Opel Corsa,51.0,16880.0,3.0,1229.0,Used
401,Opel Corsa,51.0,28972.0,3.0,1229.0,Used
402,Opel Corsa,55.0,4293.0,0.0,1199.0,Employee's car
403,Opel Corsa,100.0,1010.0,0.0,1199.0,Used
404,Opel Corsa,66.0,26116.0,3.0,1398.0,Used
405,Opel Adam,51.0,109011.0,8.0,1229.0,Used
406,Opel Corsa,66.0,21550.0,3.0,1398.0,Used
407,Opel Corsa,55.0,5000.0,1.0,1199.0,Employee's car
408,Opel Corsa,55.0,2900.0,0.0,1199.0,Employee's car
409,Opel Adam,64.0,19958.0,4.0,1398.0,Used
410,Opel Adam,51.0,35510.0,7.0,1229.0,Used
411,Opel Corsa,55.0,5000.0,1.0,1199.0,Employee's car
412,Opel Adam,51.0,33412.0,4.0,1229.0,Used
413,Opel Corsa,55.0,3900.0,0.0,1199.0,Employee's car
414,Opel Corsa,55.0,3900.0,0.0,1199.0,Employee's car
415,Opel Astra,81.0,98047.0,9.0,1686.0,Used
416,Opel Corsa,55.0,4999.0,0.0,1199.0,Employee's car
417,Opel Adam,74.0,36000.0,3.0,1398.0,Used
418,Opel Corsa,100.0,200.0,0.0,1199.0,Pre-registered
419,Opel Astra,96.0,1500.0,0.0,1499.0,Pre-registered
420,Opel Corsa,74.0,17800.0,3.0,1364.0,Used
421,Opel Corsa,55.0,11410.0,2.0,1199.0,Used
422,Opel Corsa,51.0,63000.0,3.0,1229.0,Used
423,Opel Corsa,51.0,36000.0,3.0,1229.0,Used
425,Opel Adam,51.0,17700.0,4.0,1229.0,Used
426,Opel Corsa,55.0,5900.0,0.0,1199.0,Employee's car
428,Opel Corsa,51.0,30000.0,3.0,1229.0,Used
429,Opel Astra,85.0,97403.0,9.0,1598.0,Used
431,Opel Corsa,55.0,24800.0,2.0,1199.0,Used
432,Opel Adam,51.0,54500.0,6.0,1229.0,Used
433,Opel Corsa,51.0,26813.0,3.0,1229.0,Used
434,Opel Corsa,74.0,3.0,0.0,1199.0,Pre-registered
436,Opel Corsa,152.0,85500.0,7.0,1199.0,Used
437,Opel Adam,64.0,18935.0,4.0,1398.0,Used
438,Opel Corsa,152.0,91857.0,7.0,1598.0,Used
439,Opel Astra,206.0,51866.0,7.0,1998.0,Used
442,Opel Corsa,75.0,1.0,0.0,1499.0,Pre-registered
444,Opel Astra,104.0,177459.0,11.0,1364.0,Used
446,Opel Corsa,75.0,1.0,0.0,1499.0,Pre-registered
447,Opel Insignia,162.0,173375.0,13.0,1998.0,Used
448,Opel Astra,132.0,130543.0,9.0,1598.0,Used
449,Opel Corsa,74.0,100946.0,6.0,0.0,Used
450,Opel Insignia,162.0,169619.0,13.0,1998.0,Used
453,Opel Insignia,147.0,62280.0,4.0,1598.0,Used
454,Opel Astra,88.0,86391.0,7.0,1364.0,Used
457,Opel Corsa,70.0,97824.0,7.0,1248.0,Used
458,Opel Corsa,110.0,48124.0,3.0,1364.0,Used
460,Opel Corsa,74.0,85200.0,3.0,1364.0,Used
461,Opel Adam,64.0,9286.0,4.0,1398.0,Used
462,Opel Astra,104.0,199684.0,11.0,1364.0,Used
